product_id,selected_model,model_version,feature_version,forecast_origin,training_start,training_end,backtest_start,backtest_end,backtest_wape,backtest_rmse,backtest_bias,validation_score_wape,test_score_rmse,hyperparameters,competing_models,selection_reason,run_id
P01,LightGBM,v3.0-rolling-origin-cv,v1.2-lag-calendar,2017-12-31,2013-01-01,2017-12-31,2017-09-11,2017-12-31,0.0654,18.21,-125.18,0.0654,18.21,"{""folds"": 4, ""horizon"": 28, ""cv_type"": ""rolling_origin_expanding""}","{""Naive"": {""backtest_wape"": 0.2019, ""backtest_rmse"": 55.25, ""backtest_bias"": 1229.75}, ""Seasonal Naive"": {""backtest_wape"": 0.1161, ""backtest_rmse"": 32.33, ""backtest_bias"": 365.75}, ""Moving Average"": {""backtest_wape"": 0.1424, ""backtest_rmse"": 37.99, ""backtest_bias"": 365.75}, ""Holt-Winters"": {""backtest_wape"": 0.0862, ""backtest_rmse"": 23.49, ""backtest_bias"": 362.12}, ""LightGBM"": {""backtest_wape"": 0.0654, ""backtest_rmse"": 18.21, ""backtest_bias"": -125.18}}",Selected 'LightGBM' via 4-fold rolling-origin backtest WAPE (0.0654).,RUN-20260924-87c8fc
P02,Holt-Winters,v3.0-rolling-origin-cv,v1.2-lag-calendar,2017-12-31,2013-01-01,2017-12-31,2017-09-11,2017-12-31,0.0559,49.7,221.03,0.0559,49.7,"{""folds"": 4, ""horizon"": 28, ""cv_type"": ""rolling_origin_expanding""}","{""Naive"": {""backtest_wape"": 0.2052, ""backtest_rmse"": 151.88, ""backtest_bias"": 3517.0}, ""Seasonal Naive"": {""backtest_wape"": 0.1046, ""backtest_rmse"": 77.94, ""backtest_bias"": 794.0}, ""Moving Average"": {""backtest_wape"": 0.1368, ""backtest_rmse"": 98.28, ""backtest_bias"": 794.0}, ""Holt-Winters"": {""backtest_wape"": 0.0559, ""backtest_rmse"": 49.7, ""backtest_bias"": 221.03}, ""LightGBM"": {""backtest_wape"": 0.0559, ""backtest_rmse"": 44.04, ""backtest_bias"": -120.97}}",Selected 'Holt-Winters' via 4-fold rolling-origin backtest WAPE (0.0559).,RUN-20260924-87c8fc
P03,LightGBM,v3.0-rolling-origin-cv,v1.2-lag-calendar,2017-12-31,2013-01-01,2017-12-31,2017-09-11,2017-12-31,0.0618,32.01,-282.73,0.0618,32.01,"{""folds"": 4, ""horizon"": 28, ""cv_type"": ""rolling_origin_expanding""}","{""Naive"": {""backtest_wape"": 0.2083, ""backtest_rmse"": 97.6, ""backtest_bias"": 2224.5}, ""Seasonal Naive"": {""backtest_wape"": 0.1155, ""backtest_rmse"": 55.27, ""backtest_bias"": 418.5}, ""Moving Average"": {""backtest_wape"": 0.1409, ""backtest_rmse"": 64.09, ""backtest_bias"": 418.5}, ""Holt-Winters"": {""backtest_wape"": 0.0621, ""backtest_rmse"": 34.84, ""backtest_bias"": 145.05}, ""LightGBM"": {""backtest_wape"": 0.0618, ""backtest_rmse"": 32.01, ""backtest_bias"": -282.73}}",Selected 'LightGBM' via 4-fold rolling-origin backtest WAPE (0.0618).,RUN-20260924-87c8fc
P04,LightGBM,v3.0-rolling-origin-cv,v1.2-lag-calendar,2017-12-31,2013-01-01,2017-12-31,2017-09-11,2017-12-31,0.0705,20.81,-219.43,0.0705,20.81,"{""folds"": 4, ""horizon"": 28, ""cv_type"": ""rolling_origin_expanding""}","{""Naive"": {""backtest_wape"": 0.165, ""backtest_rmse"": 46.21, ""backtest_bias"": 859.75}, ""Seasonal Naive"": {""backtest_wape"": 0.133, ""backtest_rmse"": 35.56, ""backtest_bias"": 196.75}, ""Moving Average"": {""backtest_wape"": 0.1399, ""backtest_rmse"": 37.35, ""backtest_bias"": 196.75}, ""Holt-Winters"": {""backtest_wape"": 0.0927, ""backtest_rmse"": 25.76, ""backtest_bias"": 78.7}, ""LightGBM"": {""backtest_wape"": 0.0705, ""backtest_rmse"": 20.81, ""backtest_bias"": -219.43}}",Selected 'LightGBM' via 4-fold rolling-origin backtest WAPE (0.0705).,RUN-20260924-87c8fc
P05,LightGBM,v3.0-rolling-origin-cv,v1.2-lag-calendar,2017-12-31,2013-01-01,2017-12-31,2017-09-11,2017-12-31,0.082,20.01,-186.1,0.082,20.01,"{""folds"": 4, ""horizon"": 28, ""cv_type"": ""rolling_origin_expanding""}","{""Naive"": {""backtest_wape"": 0.196, ""backtest_rmse"": 45.63, ""backtest_bias"": 935.75}, ""Seasonal Naive"": {""backtest_wape"": 0.1263, ""backtest_rmse"": 29.65, ""backtest_bias"": 212.75}, ""Moving Average"": {""backtest_wape"": 0.1423, ""backtest_rmse"": 34.28, ""backtest_bias"": 212.75}, ""Holt-Winters"": {""backtest_wape"": 0.096, ""backtest_rmse"": 22.71, ""backtest_bias"": 150.52}, ""LightGBM"": {""backtest_wape"": 0.082, ""backtest_rmse"": 20.01, ""backtest_bias"": -186.1}}",Selected 'LightGBM' via 4-fold rolling-origin backtest WAPE (0.0820).,RUN-20260924-87c8fc
