machine_id,processing_hours,setup_hours,idle_hours,processing_kwh,setup_kwh,idle_kwh,total_kwh,run_id,carbon_share_pct,scope_2_tco2e
M01,134.4,4.4167,25.2667,8258.55000000001,8.921666666666665,20.46600000000003,8287.937666666678,RUN-20260924-87c8fc,39.37,3.6467
M02,65.5,2.1667,40.4167,3823.3500000000095,3.119999999999999,23.441666666666613,3849.911666666676,RUN-20260924-87c8fc,18.29,1.694
M03,74.1167,1.5833,32.3833,8862.933333333318,5.7,46.631999999999955,8915.265333333318,RUN-20260924-87c8fc,42.35,3.9227
