machine_id,processing_hours,setup_hours,idle_hours,processing_kwh,setup_kwh,idle_kwh,total_kwh,run_id,carbon_share_pct,scope_2_tco2e
M01,134.4,4.0,25.6833,8258.55000000001,8.079999999999998,20.803500000000028,8287.43350000001,RUN-20260925-421715,39.36,3.6465
M02,65.5,2.4167,40.1667,3823.3500000000117,3.479999999999999,23.29666666666661,3850.1266666666784,RUN-20260925-421715,18.29,1.6941
M03,74.1167,1.5833,32.3833,8862.93333333332,5.700000000000001,46.631999999999955,8915.26533333332,RUN-20260925-421715,42.35,3.9227
