period_week,family_id,demand_batches,prod_batches,end_inv_batches,backlog_batches,max_machine_overtime_hours,run_id
1,FAM_A,280.0,146.0,0.0,94.0,48.0,RUN-20260926-278d95
1,FAM_B,96.2,76.0,0.0,0.2,48.0,RUN-20260926-278d95
2,FAM_A,279.4,132.0,0.0,241.4,48.0,RUN-20260926-278d95
2,FAM_B,96.6,97.0,0.2,0.0,48.0,RUN-20260926-278d95
3,FAM_A,279.2,132.0,0.0,388.6,48.0,RUN-20260926-278d95
3,FAM_B,97.4,97.0,0.0,0.2,48.0,RUN-20260926-278d95
4,FAM_A,280.5,131.0,0.0,538.1,48.0,RUN-20260926-278d95
4,FAM_B,98.2,98.0,0.0,0.4,48.0,RUN-20260926-278d95
